Data has been correctly loaded from ../../config/files/json_paths.yaml file
Data has been correctly loaded from ../../config/files/datastore_paths.yaml file
Data has been correctly loaded from ../../data/datastores/cpg950_coding_genes_original_data.json file
Key: ANAPC13, Methylation Islands Number: 72
Key: ANAPC16, Methylation Islands Number: 91
Key: ANAPC2, Methylation Islands Number: 299
Key: ANAPC4, Methylation Islands Number: 46
Key: ANAPC5, Methylation Islands Number: 100
Key: ANAPC7, Methylation Islands Number: 117
Key: ANG, Methylation Islands Number: 112
Key: ANGEL1, Methylation Islands Number: 118
Key: ANGEL2, Methylation Islands Number: 83
Key: ANGPT1, Methylation Islands Number: 25
Key: ANGPT2, Methylation Islands Number: 93
Key: ANGPT4, Methylation Islands Number: 42
Key: ANGPTL1, Methylation Islands Number: 26
Key: ANGPTL2, Methylation Islands Number: 85
Key: ANGPTL3, Methylation Islands Number: 21
Key: ANGPTL4, Methylation Islands Number: 163
Key: ANGPTL5, Methylation Islands Number: 39
Key: ANGPTL6, Methylation Islands Number: 153
Key: ANGPTL7, Methylation Islands Number: 71
Key: ANK1, Methylation Islands Number: 78
Key: ANK2, Methylation Islands Number: 37
Key: ANK3, Methylation Islands Number: 40
Key: ANKAR, Methylation Islands Number: 52
Key: ANKDD1A, Methylation Islands Number: 80
Key: ANKDD1B, Methylation Islands Number: 44
Key: ANKFN1, Methylation Islands Number: 41
Key: ANKFY1, Methylation Islands Number: 58
Key: ANKH, Methylation Islands Number: 59
Key: ANKHD1, Methylation Islands Number: 85
Key: ANKHD1-EIF4EBP3, Methylation Islands Number: 61
Key: ANKIB1, Methylation Islands Number: 42
Key: ANKK1, Methylation Islands Number: 76
Key: ANKLE1, Methylation Islands Number: 218
Key: ANKLE2, Methylation Islands Number: 229
Key: ANKMY1, Methylation Islands Number: 163
Key: ANKMY2, Methylation Islands Number: 67
Key: ANKRA2, Methylation Islands Number: 75
Key: ANKRD1, Methylation Islands Number: 82
Key: ANKRD10, Methylation Islands Number: 89
Key: ANKRD11, Methylation Islands Number: 177
Key: ANKRD12, Methylation Islands Number: 77
Key: ANKRD13A, Methylation Islands Number: 95
Key: ANKRD13B, Methylation Islands Number: 148
Key: ANKRD13C, Methylation Islands Number: 49
Key: ANKRD13D, Methylation Islands Number: 204
Key: ANKRD16, Methylation Islands Number: 109
Key: ANKRD17, Methylation Islands Number: 30
Key: ANKRD18A, Methylation Islands Number: 32
